"","river","site","material","sample_date","oyster_density","oyster_count"
"1","Newport","a","Granite","Aug-12",46.905,5
"2","Newport","a","Granite","Aug-12",18.762,2
"3","Newport","a","Marl","Aug-12",9.32,1
"4","Newport","a","Marl","Aug-12",18.64,2
"5","Newport","a","Concrete","Aug-12",45.455,5
"6","Newport","a","Concrete","Aug-12",0,0
"7","Newport","a","Shell","Aug-12",37.208,4
"8","Newport","a","Shell","Aug-12",9.302,1
"9","Newport","b","Granite","Aug-12",18.762,2
"10","Newport","b","Granite","Aug-12",28.143,3
"11","Newport","b","Marl","Aug-12",55.92,6
"12","Newport","b","Marl","Aug-12",18.64,2
"13","Newport","b","Concrete","Aug-12",72.728,8
"14","Newport","b","Concrete","Aug-12",145.456,16
"15","Newport","b","Shell","Aug-12",65.114,7
"16","Newport","b","Shell","Aug-12",55.812,6
"17","Newport","c","Granite","Aug-12",9.381,1
"18","Newport","c","Granite","Aug-12",0,0
"19","Newport","c","Marl","Aug-12",27.96,3
"20","Newport","c","Marl","Aug-12",37.28,4
"21","Newport","c","Concrete","Aug-12",27.273,3
"22","Newport","c","Concrete","Aug-12",0,0
"23","Newport","c","Shell","Aug-12",18.604,2
"24","Newport","c","Shell","Aug-12",9.302,1
"25","Newport","d","Granite","Aug-12",0,0
"26","Newport","d","Granite","Aug-12",18.762,2
"27","Newport","d","Marl","Aug-12",18.64,2
"28","Newport","d","Marl","Aug-12",9.32,1
"29","Newport","d","Concrete","Aug-12",9.091,1
"30","Newport","d","Concrete","Aug-12",18.182,2
"31","Newport","d","Shell","Aug-12",93.02,10
"32","Newport","d","Shell","Aug-12",27.906,3
"33","Newport","e","Granite","Aug-12",1013.148,108
"34","Newport","e","Granite","Aug-12",863.052,92
"35","Newport","e","Marl","Aug-12",1612.36,172
"36","Newport","e","Marl","Aug-12",2535.04,272
"37","Newport","e","Concrete","Aug-12",1945.474,214
"38","Newport","e","Concrete","Aug-12",1600.016,176
"39","Newport","e","Shell","Aug-12",1162.75,125
"40","Newport","e","Shell","Aug-12",1395.3,150
"41","North","a","Granite","Aug-12",56.286,6
"42","North","a","Granite","Aug-12",0,0
"43","North","a","Marl","Aug-12",9.32,1
"44","North","a","Marl","Aug-12",0,0
"45","North","a","Concrete","Aug-12",27.273,3
"46","North","a","Concrete","Aug-12",18.182,2
"47","North","a","Shell","Aug-12",27.906,3
"48","North","a","Shell","Aug-12",27.906,3
"49","North","b","Granite","Aug-12",9.381,1
"50","North","b","Granite","Aug-12",9.381,1
"51","North","b","Marl","Aug-12",37.28,4
"52","North","b","Marl","Aug-12",46.6,5
"53","North","b","Concrete","Aug-12",27.273,3
"54","North","b","Concrete","Aug-12",9.091,1
"55","North","b","Shell","Aug-12",0,0
"56","North","b","Shell","Aug-12",111.624,12
"57","North","c","Granite","Aug-12",46.905,5
"58","North","c","Granite","Aug-12",234.525,25
"59","North","c","Marl","Aug-12",27.96,3
"60","North","c","Marl","Aug-12",121.16,13
"61","North","c","Concrete","Aug-12",154.547,17
"62","North","c","Concrete","Aug-12",236.366,26
"63","North","c","Shell","Aug-12",130.228,14
"64","North","c","Shell","Aug-12",111.624,12
"65","North","d","Granite","Aug-12",65.667,7
"66","North","d","Granite","Aug-12",197.001,21
"67","North","d","Marl","Aug-12",158.44,17
"68","North","d","Marl","Aug-12",130.48,13
"69","North","d","Concrete","Aug-12",309.094,34
"70","North","d","Concrete","Aug-12",36.364,4
"71","North","d","Shell","Aug-12",372.08,40
"72","North","d","Shell","Aug-12",241.852,26
"73","North","e","Granite","Aug-12",544.098,57
"74","North","e","Granite","Aug-12",356.478,38
"75","North","e","Marl","Aug-12",326.2,35
"76","North","e","Marl","Aug-12",512.6,55
"77","North","e","Concrete","Aug-12",54.546,6
"78","North","e","Concrete","Aug-12",590.915,65
"79","North","e","Shell","Aug-12",892.992,96
"80","North","e","Shell","Aug-12",1125.542,121
"81","Newport","a","Granite","Oct-12",0,0
"82","Newport","a","Granite","Oct-12",0,0
"83","Newport","a","Marl","Oct-12",0,0
"84","Newport","a","Marl","Oct-12",0,0
"85","Newport","a","Concrete","Oct-12",54.546,6
"86","Newport","a","Concrete","Oct-12",45.455,5
"87","Newport","a","Shell","Oct-12",74.416,8
"88","Newport","a","Shell","Oct-12",55.812,6
"89","Newport","b","Granite","Oct-12",18.762,2
"90","Newport","b","Granite","Oct-12",18.762,2
"91","Newport","b","Marl","Oct-12",9.32,1
"92","Newport","b","Marl","Oct-12",18.64,2
"93","Newport","b","Concrete","Oct-12",118.1833024,13
"94","Newport","b","Concrete","Oct-12",300.003,33
"95","Newport","b","Shell","Oct-12",130.228,14
"96","Newport","b","Shell","Oct-12",55.812,6
"97","Newport","c","Granite","Oct-12",0,0
"98","Newport","c","Granite","Oct-12",9.381,1
"99","Newport","c","Marl","Oct-12",0,0
"100","Newport","c","Marl","Oct-12",0,0
"101","Newport","c","Concrete","Oct-12",118.183,13
"102","Newport","c","Concrete","Oct-12",18.182,2
"103","Newport","c","Shell","Oct-12",55.812,6
"104","Newport","c","Shell","Oct-12",55.812,6
"105","Newport","d","Granite","Oct-12",0,0
"106","Newport","d","Granite","Oct-12",46.905,5
"107","Newport","d","Marl","Oct-12",9.32,1
"108","Newport","d","Marl","Oct-12",27.96,3
"109","Newport","d","Concrete","Oct-12",9.091,1
"110","Newport","d","Concrete","Oct-12",72.728,8
"111","Newport","d","Shell","Oct-12",111.624,12
"112","Newport","d","Shell","Oct-12",167.4357937,17
"113","Newport","e","Granite","Oct-12",581.622,61
"114","Newport","e","Granite","Oct-12",1782.39,190
"115","Newport","e","Marl","Oct-12",1696.24,182
"116","Newport","e","Marl","Oct-12",2087.68,223
"117","Newport","e","Concrete","Oct-12",2145.476,236
"118","Newport","e","Concrete","Oct-12",2090.93,230
"119","Newport","e","Shell","Oct-12",874.388,94
"120","Newport","e","Shell","Oct-12",1655.75992,178
"121","North","a","Granite","Oct-12",0,0
"122","North","a","Granite","Oct-12",0,0
"123","North","a","Marl","Oct-12",18.64,2
"124","North","a","Marl","Oct-12",9.32,1
"125","North","a","Concrete","Oct-12",0,0
"126","North","a","Concrete","Oct-12",0,0
"127","North","a","Shell","Oct-12",27.906,3
"128","North","a","Shell","Oct-12",18.604,2
"129","North","b","Granite","Oct-12",0,0
"130","North","b","Granite","Oct-12",0,0
"131","North","b","Marl","Oct-12",37.28,4
"132","North","b","Marl","Oct-12",74.56,8
"133","North","b","Concrete","Oct-12",18.182,2
"134","North","b","Concrete","Oct-12",27.273,3
"135","North","b","Shell","Oct-12",37.208,4
"136","North","b","Shell","Oct-12",37.208,4
"137","North","c","Granite","Oct-12",37.524,4
"138","North","c","Granite","Oct-12",272.049,28
"139","North","c","Marl","Oct-12",167.76,18
"140","North","c","Marl","Oct-12",102.52,11
"141","North","c","Concrete","Oct-12",181.82,20
"142","North","c","Concrete","Oct-12",527.278,58
"143","North","c","Shell","Oct-12",390.684,42
"144","North","c","Shell","Oct-12",158.134,17
"145","North","d","Granite","Oct-12",103.191,11
"146","North","d","Granite","Oct-12",9.381,1
"147","North","d","Marl","Oct-12",195.72,21
"148","North","d","Marl","Oct-12",139.8005168,15
"149","North","d","Concrete","Oct-12",354.5488992,38
"150","North","d","Concrete","Oct-12",372.731,41
"151","North","d","Shell","Oct-12",186.04,20
"152","North","d","Shell","Oct-12",232.5505158,25
"153","North","e","Granite","Oct-12",356.478,38
"154","North","e","Granite","Oct-12",197.001104,21
"155","North","e","Marl","Oct-12",969.28,104
"156","North","e","Marl","Oct-12",624.44,67
"157","North","e","Concrete","Oct-12",472.732,52
"158","North","e","Concrete","Oct-12",0,0
"159","North","e","Shell","Oct-12",976.71,105
"160","North","e","Shell","Oct-12",883.6905158,95
"161","Newport","a","Granite","May-13",0,0
"162","Newport","a","Granite","May-13",0,0
"163","Newport","a","Marl","May-13",9.32,1
"164","Newport","a","Marl","May-13",9.32,1
"165","Newport","a","Concrete","May-13",45.455,5
"166","Newport","a","Concrete","May-13",63.637,7
"167","Newport","a","Shell","May-13",37.208,4
"168","Newport","a","Shell","May-13",18.604,2
"169","Newport","b","Granite","May-13",18.762,2
"170","Newport","b","Granite","May-13",46.905,5
"171","Newport","b","Marl","May-13",83.88,9
"172","Newport","b","Marl","May-13",18.64,2
"173","Newport","b","Concrete","May-13",54.546,6
"174","Newport","b","Concrete","May-13",318.185,35
"175","Newport","b","Shell","May-13",195.342,21
"176","Newport","b","Shell","May-13",27.906,3
"177","Newport","c","Granite","May-13",0,0
"178","Newport","c","Granite","May-13",0,0
"179","Newport","c","Marl","May-13",0,0
"180","Newport","c","Marl","May-13",46.6,5
"181","Newport","c","Concrete","May-13",27.273,3
"182","Newport","c","Concrete","May-13",63.637,7
"183","Newport","c","Shell","May-13",18.604,2
"184","Newport","c","Shell","May-13",65.114,7
"185","Newport","d","Granite","May-13",28.143,3
"186","Newport","d","Granite","May-13",0,0
"187","Newport","d","Marl","May-13",37.28,4
"188","Newport","d","Marl","May-13",18.64,2
"189","Newport","d","Concrete","May-13",290.912,32
"190","Newport","d","Concrete","May-13",181.82,20
"191","Newport","d","Shell","May-13",316.268,34
"192","Newport","d","Shell","May-13",297.664,32
"193","Newport","e","Granite","May-13",150.096,16
"194","Newport","e","Granite","May-13",0,0
"195","Newport","e","Marl","May-13",242.32,26
"196","Newport","e","Marl","May-13",139.8,15
"197","Newport","e","Concrete","May-13",836.372,92
"198","Newport","e","Concrete","May-13",500.005,55
"199","Newport","e","Shell","May-13",809.274,87
"200","Newport","e","Shell","May-13",511.61,55
"201","North","a","Granite","May-13",9.381,1
"202","North","a","Granite","May-13",0,0
"203","North","a","Marl","May-13",0,0
"204","North","a","Marl","May-13",0,0
"205","North","a","Concrete","May-13",9.091,1
"206","North","a","Concrete","May-13",0,0
"207","North","a","Shell","May-13",9.302,1
"208","North","a","Shell","May-13",18.604,2
"209","North","b","Granite","May-13",9.381,1
"210","North","b","Granite","May-13",0,0
"211","North","b","Marl","May-13",9.32,1
"212","North","b","Marl","May-13",74.56,8
"213","North","b","Concrete","May-13",0,0
"214","North","b","Concrete","May-13",9.091,1
"215","North","b","Shell","May-13",65.114,7
"216","North","b","Shell","May-13",18.604,2
"217","North","c","Granite","May-13",18.762,2
"218","North","c","Granite","May-13",93.81,10
"219","North","c","Marl","May-13",111.84,12
"220","North","c","Marl","May-13",37.28,4
"221","North","c","Concrete","May-13",163.638,18
"222","North","c","Concrete","May-13",463.641,51
"223","North","c","Shell","May-13",139.53,15
"224","North","c","Shell","May-13",111.624,12
"225","North","d","Granite","May-13",65.667,7
"226","North","d","Granite","May-13",18.762,2
"227","North","d","Marl","May-13",223.68,24
"228","North","d","Marl","May-13",121.16,13
"229","North","d","Concrete","May-13",181.82,20
"230","North","d","Concrete","May-13",300.003,33
"231","North","d","Shell","May-13",511.61,55
"232","North","d","Shell","May-13",176.738,19
"233","North","e","Granite","May-13",0,0
"234","North","e","Granite","May-13",0,0
"235","North","e","Marl","May-13",9.32,1
"236","North","e","Marl","May-13",0,0
"237","North","e","Concrete","May-13",9.091,1
"238","North","e","Concrete","May-13",100.001,11
"239","North","e","Shell","May-13",18.604,2
"240","North","e","Shell","May-13",0,0
